Conservation Unit,Biological Status,Run timing,Trend in spawner abundance (all generations),Trend in spawner abundance (last 3 generations)
Quesnel-Summer (cyclic),Data Deficient/Fair-Poor,July-September,Data Deficient,Data Deficient
