Objective #,Objective
1,"By 2040, 16 road-stream crossing barriers will be remediated in the Horsefly River watershed"
2,"By 2023, a minimum of 1 lateral barrier will be remediated in the Horsefly River watershed"
3,"By 2040, 4 dams will be remediated in the Horsefly River watershed"
